time,distance,speed,RPM,mileage,error
881,15382,61,1502,19682,Fuel Volume Regulator Control Circuit Low
16583,46773,48,4150,54722,Fuel Shutoff Valve Control Circuit/Open
43,235,19,936,235,A Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)
289,2815,34,1308,160008818,A Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)
132,1645,44,1475,160047218,A Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)
1754,37191,75,2348,160154351,A Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)
328,10632,32,2448,154411,Manifold Absolute Pressure Barometric Pressure Correlation
608,7602,44,1409,113265,Manifold Absolute Pressure Barometric Pressure Correlation
793,7294,32,1292,105964397,Manifold Absolute Pressure Barometric Pressure Correlation
328,10632,32,2448,154411,Manifold Absolute Pressure Barometric Pressure Correlation
328,10632,32,2448,154411,Manifold Absolute Pressure Barometric Pressure Correlation
1121,17926,32,1870,105964397,Manifold Absolute Pressure Barometric Pressure Correlation
16084,49819,98,4149,11679,Fuel System Leak Detected Small Leak
1164,16843,79,1333,99028173,Intake Air Temperature Sensor 2 Circuit High
11,22,6,1105,216613876,Mass or Volume Air flow Circuit Range/Performance Problem
1775,26794,54,1401,216455997,Mass or Volume Air flow Circuit Range/Performance Problem
3840,76718,68,1526,215997105,Mass or Volume Air flow Circuit Range/Performance Problem
380,5551,52,1312,220284774,Mass or Volume Air flow Circuit Range/Performance Problem
144,1057,25,1137,218197354,Mass or Volume Air flow Circuit Range/Performance Problem
2917,62573,68,1470,219868919,Mass or Volume Air flow Circuit Range/Performance Problem
3840,76718,68,1526,215997105,Mass or Volume Air flow Circuit Range/Performance Problem
4424,76525,62,1532,219429012,Mass or Volume Air flow Circuit Range/Performance Problem
709,10571,53,1447,199715253,Mass or Volume Air flow Circuit Range/Performance Problem
8,5,2,934,219606682,Mass or Volume Air flow Circuit Range/Performance Problem
965,14557,54,1306,216082192,Mass or Volume Air flow Circuit Range/Performance Problem
649,9716,53,1352,199693132,Mass or Volume Air flow Circuit Range/Performance Problem
61,367,21,1087,199610641,Mass or Volume Air flow Circuit Range/Performance Problem
431,6858,36,1162,216003965,Mass or Volume Air flow Circuit Range/Performance Problem
382,5484,51,1373,199659865,Mass or Volume Air flow Circuit Range/Performance Problem
505,8165,58,1373,220105945,Mass or Volume Air flow Circuit Range/Performance Problem
3840,76718,68,1526,215997105,Mass or Volume Air flow Circuit Range/Performance Problem
2917,62573,68,1470,219868919,Mass or Volume Air flow Circuit Range/Performance Problem
655,10553,57,1368,199621445,Mass or Volume Air flow Circuit Range/Performance Problem
617,10257,59,1292,216136361,Mass or Volume Air flow Circuit Range/Performance Problem
649,9716,53,1352,199693132,Mass or Volume Air flow Circuit Range/Performance Problem
3840,76718,68,1526,215997105,Mass or Volume Air flow Circuit Range/Performance Problem
10,4,1,937,215204649,Mass or Volume Air flow Circuit Range/Performance Problem
835,11976,51,1360,217883629,Mass or Volume Air flow Circuit Range/Performance Problem
11,8,2,1049,199570859,Mass or Volume Air flow Circuit Range/Performance Problem
3929,109105,99,1821,218105088,Mass or Volume Air flow Circuit Range/Performance Problem
167,806,20,1093,2463958,Intake Air Temperature Circuit Malfunction
167,806,20,1093,2463958,Intake Air Temperature Circuit Malfunction
167,806,20,1093,2463958,Intake Air Temperature Circuit Malfunction
382,5484,51,1373,199659865,Intake Air Temperature Circuit High Input
11,8,2,1049,199570859,Intake Air Temperature Circuit High Input
61,367,21,1087,199610641,Intake Air Temperature Circuit High Input
709,10571,53,1447,199715253,Intake Air Temperature Circuit High Input
649,9716,53,1352,199693132,Intake Air Temperature Circuit High Input
655,10553,57,1368,199621445,Intake Air Temperature Circuit High Input
649,9716,53,1352,199693132,Intake Air Temperature Circuit High Input
2,25,58,2807,134759942,Engine Coolant Temperature Circuit Malfunction
29,576,64,2991,2405402,Engine Coolant Temperature Circuit Malfunction
1121,17926,32,1870,105964397,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
8,17,8,963,134759781,Engine Coolant Temperature Circuit Malfunction
39,87,8,2448,134759763,Engine Coolant Temperature Circuit Malfunction
793,7294,32,1292,105964397,Engine Coolant Temperature Circuit Malfunction
11,449,145,6288,862678,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
